SolarW,HouseW,BattW,GridW,BattCharge,SolarF,HouseF,BattF,GridF
6.51,1610.9,1620,0.97,96.91,   60,   60,59.99,   60
6.1,1614.1,1590,1.14,96.91,59.94,59.94,59.99,59.94
5.69,1623.6,1610,1.19,96.91,59.94,59.94,59.99,59.94
5.82,1570.4,1570,0.91,96.91,59.94,59.94,59.99,59.94
6.65,1588.5,1570,1.19,96.91,59.94,59.94,59.99,59.94
6.35,1632.5,1640,0.88,96.91,59.94,59.94,59.99,59.94
5.8,1632.1,1620,1.3,96.91,59.94,59.94,59.99,59.94
5.71,1604.5,1620,1.19,96.91,59.94,59.94,59.99,59.94
6.15,1614.3,1590,1.32,96.91,59.94,59.94,59.99,59.94
6.42,1566,1570,1.1,96.91,59.94,59.94,59.99,59.94
5.63,1577.6,1550,1.18,96.91,59.94,59.94,59.99,59.94
5.6,1608.2,1610,1.05, 96.9,59.94,59.94,59.99,59.94
5.71,1657.7,1660,0.99, 96.9,59.94,59.94,59.99,59.94
6.72,1602.5,1550,1.14, 96.9,59.94,59.94,59.99,59.94
5.88,1553.4,1580,1.18, 96.9,   60,   60,59.99,   60
5.52,1618.7,1600,1.02, 96.9,   60,   60,59.99,   60
5.88,1597.5,1600,0.91,96.89,   60,   60,59.99,   60
6.31,1622,1610,1.19,96.89,   60,   60,59.99,   60
6.84,1686.8,1740,1.02,96.89,   60,   60,59.99,   60
6.12,1759.8,1720,0.77,96.89,   60,   60,59.99,   60
5.96,1742.7,1770,1.21,96.89,   60,   60,59.99,   60
5.98,1739.8,1660,0.99,96.89,   60,   60,59.99,   60
6.56,1590,1530,1.1,96.89,   60,   60,59.99,   60
5.82,1528.3,1500,1,96.89,   60,   60,59.99,   60
5.69,1533.6,1580,1.24,96.89,   60,   60,59.99,   60
5.61,1554.1,1530,1.22,96.89,   60,   60,59.99,   60
6.34,1549.6,1550,1.14,96.89,   60,   60,59.99,   60
6.1,1561.8,1570,0.93,96.89,   60,   60,59.99,   60
6.01,1554.3,1530,1.38,96.88,   60,   60,59.99,   60
5.57,1559.5,1550,0.91,96.88,   60,   60,59.99,   60
6.21,1670.5,1680,0.82,96.88,   60,   60,59.99,   60
6.73,1664.6,1660,0.96,96.88,   60,   60,59.99,   60
6.48,1651.5,1650,1.21,96.88,   60,   60,59.99,   60
5.44,1670.1,1680,1.07,96.88,   60,   60,59.99,   60
5.66,1678.4,1640,0.99,96.88,   60,   60,59.99,   60
6.15,1622.2,1600,1,96.88,   60,   60,59.99,   60
6.43,1630.5,1650,1.25,96.88,   60,   60,59.99,   60
6.12,1636.2,1630,1.18,96.88,   60,   60,59.99,   60
5.63,1621,1630,1.16,96.88,   60,   60,59.99,   60
6.21,1700.7,1710,1.1,96.88,   60,   60,59.99,   60
6.84,1716.1,1700,0.94,96.88,   60,   60,59.99,   60
6.72,1719.7,1710,1.24,96.88,   60,   60,59.99,   60
6.13,1706.6,1710,0.97,96.88,   60,   60,59.99,   60
5.96,1715.7,1700,0.89,96.88,   60,   60,59.99,   60
6.59,1687.1,1670,1.1,96.88,   60,   60,59.99,   60
6.94,1707.6,1700,0.96,96.88,   60,   60,59.99,   60
6.26,1690.7,1700,0.91,96.88,   60,   60,59.99,   60
